company,job_title,location,posted_date,stipend
Travelope,Junior Travel Consultant,Mumbai,,"₹ 2,00,000 - 3,00,000"
Juntrax Solutions Private Limited,Sales Development Representative,Bangalore,2 days ago,"₹ 5,00,000"
Bezt Labs,Relationship Manager,Kolkata,,"₹ 3,00,000"
Pentableu,Client Service Executive,Mumbai,,"₹ 2,40,000 - 2,60,000"
Ascender Marketing Solutions Pvt. Ltd.,Client Acquisition Manager,Gurgaon,,"₹ 4,80,000 - 6,00,000"
Ascender Marketing Solutions Pvt. Ltd.,Client Service Associate,Gurgaon,,"₹ 2,50,000 - 3,00,000"
Analystt.ai,Sales Partnership And Alliance Associate,Mumbai,,"₹ 2,00,000 - 6,00,000"
One Media Group,Animator,Work from home,Few hours ago,"₹ 3,60,000 - 5,00,000"
"Granville Tech Company Ltd. (Kampala, Uganda)",Carbon Credit And GNSS Expert,Work from home,Few hours ago,"$ 24,000"
"Granville Tech Company Ltd. (Kampala, Uganda)",Lead Technical Expert (Electronics Engineer),Work from home,Few hours ago,"$ 24,000"
PlanetSpark,Inside Sales Associate,Gurgaon,1 day ago,"₹ 6,50,000 - 7,50,000"
"Granville Tech Company Ltd. (Kampala, Uganda)",Research And Development Expert (Electronic Systems Design Engineering),Work from home,Few hours ago,"$ 24,000"
Indigrow Capital,Investment Advisor,Mumbai,,"₹ 2,50,000 - 3,00,000"
"Granville Tech Company Ltd. (Kampala, Uganda)",Manufacturing And Supply Chain Expert,Work from home,Few hours ago,"$ 24,000"
PlanetSpark,Sales Executive,Delhi,1 day ago,"₹ 6,50,000 - 7,50,000"
PlanetSpark,Business Development (Sales) Executive,Delhi,1 day ago,"₹ 6,50,000 - 7,50,000"
TheCoinRepublic,Content Writer,Delhi,,"₹ 3,50,000 - 4,80,000"
Limescreen Entertainment & Productions,Brand Collaborator,Hyderabad,2 days ago,"₹ 2,40,000 - 3,00,000"
Coalesce Eventz India Private Limited,Junior Video Editor,Mumbai,,"₹ 2,16,000 - 2,40,000"
Movie'ing Moments,Social Media Marketing Manager,Mumbai,,"₹ 3,60,000 - 6,00,000"
Vinod Stainless Steel,E-commerce And Digital Marketing Executive,Mumbai,,"₹ 3,60,000"
Pereyan LLP,Reel Maker,Bangalore,,"₹ 2,00,000 - 3,50,000"
Exquisite Employee Manifest,Finance Executive,Gurgaon,,"₹ 2,00,000 - 4,20,000"
Klicksurge,Content Writer,Ghaziabad,,"₹ 2,00,000 - 3,00,000"
Hiring Squad,Customer Acquisition Specialist,Jaipur,1 day ago,"₹ 3,50,000"
ServerGuy,Webmaster - WordPress & SEO,Noida,1 day ago,"₹ 2,00,000 - 5,00,000"
360 Digital Idea,Business Development Executive,Delhi,,"₹ 2,00,000 - 3,00,000"
Stirring Minds,Sales Associate,Delhi,,"₹ 2,00,000 - 2,50,000"
Acoustika India Private Limited,Customer Support Head (Female),Ghaziabad,2 days ago,"₹ 2,60,000 - 3,60,000"
Stirring Minds,Corporate Sales Associate,Delhi,,"₹ 2,00,000 - 2,50,000"
Stirring Minds,Junior Sales Specialist,Delhi,,"₹ 2,00,000 - 2,50,000"
The Skillians,Business Development Specialist,Gurgaon,,"₹ 2,50,000 - 3,00,000"
Supernova AI,Customer Success Executive,Chennai,,"₹ 2,00,000 - 4,00,000"
Unityque,Business Development Associate,Kolkata,,"₹ 4,00,000 - 6,00,000"
SPT Sports Management Private Limited,Assistant Account Manager,Bangalore,,"₹ 3,60,000 - 4,80,000"
Inspacco,Assistant Operations Manager,Pune,2 days ago,"₹ 2,00,000 - 3,50,000"
Trade Brains,Financial Analyst (US Market),Bangalore,2 days ago,"₹ 3,60,000 - 4,00,000"
Stirring Minds,Business Sales Associate,Delhi,,"₹ 2,00,000 - 2,50,000"
Techeir/Konseptrix Analytics Private Limited,Team Lead - RCM AR,Noida,,"₹ 5,00,000 - 7,00,000"
52 Sundaze,Operations Associate,Gurgaon,,"₹ 3,00,000 - 3,00,001"
Trinity Golf India Private Limited,Corporate Sales Executive,Delhi,,"₹ 3,60,000 - 4,50,000"
Accedge Advisory Limited,Senior Accountant,Work from home,Few hours ago,"₹ 4,20,000 - 5,00,000"
InstaAstro,Operation Executive,Noida,,"₹ 2,50,000 - 3,00,000"
Monkhub,DevOps Engineer,Gurgaon,2 days ago,"₹ 3,00,000 - 6,00,000"
BhojpuriT,Social Media Marketing Manager (Female),Delhi,,"₹ 2,00,000 - 2,20,000"
Mr n Mrs Pet,Associate UI/UX Designer,Jaipur,,"₹ 2,00,000 - 3,00,000"
Orane Consulting Private Limited,Personal Assistant,Noida,,"₹ 5,00,000 - 7,50,000"
Pereyan LLP,Social Media Executive,Bangalore,,"₹ 2,50,000 - 4,00,000"
The Future University,Graphic Designer,Mohali,,"₹ 3,00,000 - 5,00,000"
IIDE Education Private Limited,Associate Academic Counselor,Pune,2 days ago,"₹ 3,00,000 - 4,20,000"
Pratap Polysacks Limited,Quality Control Manager,Kolkata,,"₹ 2,40,000 - 2,70,000"
APlus Enterprises Private Limited,Marketing Executive,Mumbai,,"₹ 2,40,000 - 3,00,000"
Analystt.ai,Product Manager,Mumbai,,"₹ 3,60,000 - 6,00,000"
MentorBoxx,Field Sales Executive,Chennai,2 days ago,"₹ 2,00,000 - 3,60,000"
Big Bulls,Female Trainer,Bangalore,,"₹ 5,00,000 - 10,00,000"
Exquisite Employee Manifest,Junior Sales Executive,Amritsar,2 days ago,"₹ 2,00,000 - 4,00,000"
Samarik Digital (Samarik Tech India Private Limited),Junior Social Media Marketing Manager,Mumbai,,"₹ 2,00,000 - 3,60,000"
Templatolio,Graphic Designer,Work from home,Today,"₹ 3,00,000 - 4,00,000"
WeMakeScholars,Financial Officer,Bhubaneswar,1 day ago,"₹ 4,00,000 - 4,30,000"
Zansys Technologies,Business Development Executive,Work from home,Today,"₹ 2,00,000 - 2,40,000"
TSL Marketing,Business Development Specialist,Pune,,"₹ 2,40,000 - 3,00,000"
Kosha,Senior Content Writer,Pune,,"₹ 3,00,000 - 3,60,000"
The Whitespace Architects,Junior Architect,Varanasi,,"₹ 2,40,000 - 3,50,000"
